ID_Reserva,Sexo,Tipo_Habitacion,Motivo_Viaje,Comentario_Positivo,Comentario_Negativo,Reseña_Completa,Rating
84810,M,Doble (1 cama),DEPORTIVO,la habitacion eStaba limpia,,La habitacion rstaba limpiia.,4
15592,M,Doble (1 cama),DEPORTIVO,el personal fue muy amable,falta mantenimiento en algunas areas,El personal fue muy amable. sin embargo falta mantenimiento en algunas areas.,4
4278,F,Doble Twin (2 camas),TURISMO,la piscina estaba muy bien,habiA olor raro enla habitacion,"La piscina estaba muy bien, la verdad habiA olor raro enla habitacion.",3
98196,F,Cuádruple,OTRO,las camas eran comodas,se escuchaba todo del pasillo,Las camas eran comodas. eso sí se escuchaba todo del pasillo.,3
37048,M,Triple,SALUD,todo estuvo bien en generral,,Todo estuvo bien en generral. Volvería.,4
33098,F,Sencilla,NEGOCIO,,,estuvo ok,2
30256,M,Sencilla,NEGOCIO,el wifi funcionaba bien,habia humedad en el cuarto,El wifi funcionaba bien. igual habia humedad en el cuarto.,2
19289,M,Doble (1 cama),DEPORTIVO,la habitación estaba limpia,,La habitación estaba limpia. Lo recomiendo.,4
97530,M,Doble Twin (2 camas),NEGOCIO,buena relacion calidad preCio,los muebles estaban algo deteriorados,Buena relacion calidad precio. Los muebles estaban algo deteriorados.,3
14434,F,Sencilla,OTRO,todo estuvo bien en general,la comida llego fria,"Todo estuvo bien en general, la verdad la comida llego fria.",4
89696,M,Doble Twin (2 camas),NEGOCIO,,habia mucho ruido en la noche,Habia mucho ruido en la noche.,2
98080,M,Doble (1 cama),NEGOCIO,,,no tengo mucho que decir.,5
72482,F,Triple,TURISMO,la piscina estaba muy bien,el baño estaba algo descuidado,La piscina estaba muy bien. eso sí el baño estaba algo descuidado.,5
12395,M,Doble (1 cama),TURISMO,la atencion fue excelente,había mucho ruido en la noche y la atención pudo ser mejor,La atencion fue excelente. Había mucho ruido en la noche y la atenciónn pudo ser mejor,4
78397,M,Sencilla,PERSONAL,cumple con lo que promete,el precio era algo elevado para lo que ofrece,Cumple con lo que promete. pero el precio era algo elevado para lo que ofrece.,3
56302,M,Doble Twin (2 camas),NEGOCIO,el check in fuerapido,,El check in fuerapido. Volvería.,4
5165,F,Triple,TURISMO,,la tv no funcionaba bien,Honestamente La tv no funcionaba bien.,4
4905,M,Triple,NEGOCIO,,el cuartto erra muy pequeño,Honestamente El cuartto erra muy pequeño.,4
13280,F,Sencilla,SALUD,,,esperaba mas la verdad.,4
29657,M,Sencilla,TURISMO,todo estuvo bien en geneeral,no habia agua caliente en la mañana,Todo estuvo bien en geneeral. la verdad no habia agua caliente en la mañana.,3
31495,M,Doble Twin (2 camas),SALUD,habitacion espaciosa y limpia,se escuchaba todo del pasillo y el baño tenía problemas,Habitacion espaciosa y limpia. Se escuchaba todo del pasillo y el baño tenía problemas.,3
67237,M,Triple,PERSONAL,,no habia agua caliente en la mañana,No habia agua caliente en la mañana.,4
79907,M,Sencilla,TURISMO,el cuarto era amplio,,El cuarto era amplio.,4
4478,M,Triple,PERSONAL,muy bonitas las aeeas comunes,problemas con el agua caliente,Muy bonitas las aeeas comunes. la verdad problemas con el agua caliente.,1
74563,F,Suite,DEPORTIVO,el restaurante del hotel estuvo rico,,El restaurante del hotel estuvo rico. Buen hotel.,4
27062,M,Triple,NEGOCIO,el personal fue amable,la puerta no cerrabaa bien,El personal fue amable. pero la puerta no cerrabaa bien.,4
94850,F,Sencilla,TURISMO,todo estuvo biem en general,se escuchaba todo del pasillo y en recepción se demoraron demasiado,"Todo estuvo biem en general, sin embargo se escuchaba todo del pasillo y en recepción se demoraron demasiado.",4
86181,F,Sencilla,TURISMO,muy bonitas las areas comunes,la tv no funcionaba bien,"Muy bonitas las areas comunes, pero la tv no funcionaba bien.",3
92924,M,Sencilla,SALUD,buena experiencia en general lo recomiendo,,Buena experiencia en general lo recomiendo.,3
72426,F,Doble (1 cama),PERSONAL,,,esperaba mas la verdad.,2
55987,F,Doble (1 cama),TURISMO,habitacion espaciosa y limpia,,Habitacion espaciosa y limpia. Lo recomiendo.,5
29893,M,Sencilla,TURISMO,,el cuarto era muy pequeño,Honestamente El cuarto era muy pequeño.,2
59878,M,Sencilla,SALUD,el colchon era comodisimo,poca variedad en el desayuno,El colchon era comodisimo. igual poca variedad en el desayuno.,3
78236,M,Doble (1 cama),SALUD,,demasiado ruido externo y el desayuno no fue lo esperado,Honestamente Demasiado ruido externo y el desayuno no fue lo esperado.,3
37463,M,Doble Twin (2 camas),NEGOCIO,las toallas y ropa de cama limpias,la tv no funcionaba birn,Las toallas y ropa de cama limpias. La tv no funcionaba birn.,3
1851,M,Doble Twin (2 camas),DEPORTIVO,,,no tengo mucho que decir.,5
21926,F,Sencilla,DEPORTIVO,,el ascensor tardaba mucho,Pues El ascensor tardaba mucho.,3
92506,M,Doble (1 cama),SALUD,buena ubicacion para moverse por la ciudad,el baño tenia problemas,"Buena ubicacion para moverse por la ciudad, igual el baño tenia problemas.",3
56392,M,Doble Twin (2 camas),NEGOCIO,buena ubicacion para moverse por la ciudad,la comida llego fria,Buena ubicacion para moverse por la ciudad. eso si la comida llego fria.,4
45597,M,Triple,NEGOCIO,el personal fue amable,el desayuno no fue lo esperado,"El personal fue amable, igual el desayuno no fue lo esperado.",4
37421,F,Sencilla,DEPORTIVO,todo estuvo bien en general,falta mantenimiento en algunas areas,Todo estuvo bien en general. aunque igual falta mantenimiento en algunas areas.,3
21379,F,Sencilla,OTRO,el parqueadero fue util,,El parqueadero fue util. Sin quejas.,4
29221,F,Suite,TURISMO,el personal super amable yatento,,El personal super amable yatento. Sin quejas.,4
45118,M,Sencilla,PERSONAL,,,esperaba mas la verdad.,4
14396,M,Doble (1 cama),DEPORTIVO,buenas instalaciones en geneeal,se escuchaba todo delpasillo y en eecepción se demoraron demasiado,Buenas instalaciones en geneeal. Se escuchaba todo delpasillo y en eecepción se demoraron demasiado.,3
13156,F,Doble Twin (2 camas),DEPORTIVO,el personal fue amable,la puerta no cerraba bien,El personal fue amable. La puerta no cerraba bien.,3
50797,F,Sencilla,DEPORTIVO,muy buen hotel en general,problemas conel agUa caliente,Muy buen hotel en general. Problemas conel agua caliente.,3
13676,M,Doble Twin (2 camas),SALUD,,elservicio fue algodemorado,Honestamente Elservicio fue algodemorado.,3
48052,M,Doble (1 cama),NEGOCIO,me parecio un hotel muy completo,habia mucho ruido en la noche,"Me parecio un hotel muy completo, igual habia mucho ruido en la noche.",3
46082,M,Sencilla,PERSONAL,el personal hizo todo lo posible por ayudar,,El personal hizo todo lo posible por ayudar. Volvería.,4
80131,F,Doble (1 cama),PERSONAL,la habitación estaba limpia,,La habitaciónn estaba limpia,4
35671,M,Sencilla,TURISMO,me gustó el servIcio,la tv no funcionaba bienn,Me gustó el servicio. aunque la tv no funcionaba bienn.,3
6695,M,Doble (1 cama),NEGOCIO,,demasiado ruido externo y no habia agua caliente en la mañana,Demasiado ruido externo y no habia agua caliente en la mañana.,2
96647,M,Triple,NEGOCIO,,el aire acondicionado hacia ruido,La verdad El aire acondicionado hacia ruido.,3
61217,M,Doble Twin (2 camas),DEPORTIVO,,,fue una experiencia del monton.,4
71284,M,Doble Twin (2 camas),SALUD,,no pude dormir bien por el ruido y lacomida se demorÓ bastante,No pude dormir bien por el ruido y lacomida se demoró bastante.,3
17361,M,Doble Twin (2 camas),SALUD,la ubicacion es muy buena,el personal no fue muy atento,La ubicacion es muy buena. El personal no fue muy atento,3
50615,M,Doble Twin (2 camas),DEPORTIVO,,el colchon estaba algo viejo y el parqueadero era muy pequeño,El colchon estaba algo viejo y el parqueadero era muy pequeño.,1
11328,F,Cuádruple,SALUD,buen servicio de habitaciones,demasiado ruido externo yel desayuno no fue lo esperado,Sin embargo demasiado ruido externo yel desayuno no fue lo esperado. Buen servicio de habitaciones.,3
73357,F,Doble Twin (2 camas),NEGOCIO,la piscina estaba muy bien,no pude dormir bien por el ruido y la comida se demoró bastante,"La piscina estaba muy bien, sin embargo no pude dormir bien por el ruido y la comida se demoró bastante.",3
39427,M,Doble Twin (2 camas),NEGOCIO,el personal fue muy amable,no pude dormir bien por el ruido y la comida se ddemoró bastante,El personal fue muy amable. la verdad no pude dormir bien por el ruido y la comida se ddemoró bastante.,4
83397,M,Suite,DEPORTIVO,,,fue una experiencia deel monton.,4
82070,F,Doble (1 cama),DEPORTIVO,,la cama no era muy comoda,La cama no era muy comoda.,2
48400,M,Doble (1 cama),TURISMO,las camas eran comodas,en recepcion se demoraron demasiado,Aunque igual en recepcion se demoraron demasiado. Las camas eran comodas.,4
76674,M,Sencilla,TURISMO,,falta mantenimiento en aLgunas areas y los muebles estaban algo deteriorados,La verdad Falta mantenimiento en algunas areas y los muebles estaban algo deteriorados.,2
26203,M,Triple,SALUD,las camas eran cómodas,falta mantenumiento en algunas areas,La verdad falta mantenumiento en algunas areas. Las camas eran comodas.,3
93349,M,Doble Twin (2 camas),PERSONAL,el desayunoestuvo muy rico,habia humedad en el cuarto,"El desayunoestuvo muy rico, eso si habia humedad en el cuarto.",3
10116,M,Doble Twin (2 camas),NEGOCIO,la recepcion fue muy corfial,,La recepcion fue muy corfial. Lo recomiendo.,4
7006,M,Suite,SALUD,la ubicación es muy buena,,La ubicación es muy buena.,4
87673,F,Suite,SALUD,ambiente tranquilo y agradable,el baño tenia problemas,"Ambiente tranquilo y agradable, pero la verdad el baño tenia problemas.",3
30871,M,Sencilla,TURISMO,la habitación estaba limpia,el aire acondicionado hacia ruido,La habitación estaba limpia. sin embargo el aire acondicionado hacia ruido.,3
38930,M,Doble Twin (2 camas),PERSONAL,las camas eran comodas,el dessyuno no fue lo esperado,Las camas eran comodas. igual el dessyuno no fue lo esperado.,3
11458,M,Doble Twin (2 camas),TURISMO,,no habia agua caliente en la mañana,No habia agua caliente en la mañana.,2
31512,M,Doble Twin (2 camas),OTRO,,la comida se demoeo bastante,La verdad La comida se demoeo bastante.,2
14238,F,Doble Twin (2 camas),TURISMO,todo estuvo bien en general,,Todo estuvo bien en general.,5
50823,M,Doble Twin (2 camas),NEGOCIO,habitacion espaciosa y limpia,demasiado ruido externo y el desayuno no fue lo esperado,La verdad demasiado ruido externo y el desayuno no fue lo esperado. Habitacion espaciosa y limpia.,3
37434,F,Doble (1 cama),NEGOCIO,la ubicación es muy buena,los muebles estaban algo deteriorados,Igual los muebles estaban algo deteriorados. La ubicación es muy buena.,4
60429,M,Sencilla,NEGOCIO,el colchon era comodisimo,no pude dormir bien por el ruido,"El colchon era comodisimo, eso sí no pude dormir bien por el ruido.",4
84320,F,Triple,NEGOCIO,muy buena vustadesde la habitacion,los murbles estaban algo deteriorados,Muy buena vustadesde la habutacion. Los murbles estaban algo deTeriorados.,3
48819,M,Doble Twin (2 camas),TURISMO,,la comida llego fria,Honestamente La comida llego fria.,2
22319,F,Doble (1 cama),TURISMO,,,"regular, ni muy bien ni muy mal.",3
49520,M,Doble (1 cama),DEPORTIVO,cumple con lo que promete,no pude dormir bien por el ruido,"Cumple con lo que peomete, eso si no pude dormir bien por elruido.",3
47566,M,Doble Twin (2 camas),DEPORTIVO,el desayuno estuvo muy eico,el ascensor tardaba mucho,"El desayuno estuvo muy eico, la verdad el ascensor tardaba mucho.",3
28460,M,Sencilla,PERSONAL,la habitación estaba limpia,,La habitación estaba limpia. Lo recomiendo,5
88841,M,Sencilla,OTRO,me parecio un hotel muy completo,poca variedad em el deesayuno,"Me parecio un hotel muy completo, eso si poca variedad em el deesayuno.",4
35993,M,Doble Twin (2 camas),TURISMO,la habitación estaba limpia,,La habitación estaba limpia. Volvería,2
92988,F,Doble Twin (2 camas),TURISMO,la recepcion fue muy cordial,no pude doemir bien por el ruido y la comida se demoró bastante,Pero no pude doemir bien por el ruido y la comida se demoró bastante. La recepcion fue muy cordial.,4
90593,F,Triple,NEGOCIO,la atencion fueexcelente,demasiado ruido externo,Sin embargo demasiado ruido externo. La atencion fueexcelente.,3
85939,F,Sencilla,NEGOCIO,el personal fue muy amable,el aire acondicionado hacia ruido,Igual el aire acondicionado hacia ruido. El personal fue muy amable.,3
10358,M,Doble Twin (2 camas),PERSONAL,,,nada especial la verdad.,4
80840,F,Doble (1 cama),DEPORTIVO,cumple con lo que promete,habia humedad en el cuarto,Cumple con lo que promete. Habia humedad en el cuarto.,1
84227,F,Triple,PERSONAL,,,nada eSpecial la verdaD.,1
23431,M,Sencilla,PERSONAL,buen servicio de habitaciones,las instalaciones estan algo viejas,Buen servicio de habitaciones. Las instalaciones estan algo viejas.,3
71010,M,Sencilla,PERSONAL,las camas eran cómodas,no pude dormir bien por el ruido y la comida se demoró bastante,"Las camas eran cómodas, eso sí no pude dormir bien por el ruido y la comida se demoró bastante.",3
96568,M,Cuádruple,TURISMO,,demasiado ruido externo y el desayuno no fue lo esperado,Demasiado ruido externo y el desayuno no fue lo esperado.,5
33087,M,Cuádruple,SALUD,,no habia agua caliente en la mañana,Honestamente No habia agua caliente en la manana.,4
22417,F,Suite,DEPORTIVO,me gustó el servicio,había mucho ruido en la noche y la atención pudo ser mejor,Me gustó el servicio. igual había mucho ruido en la noche y la atención pudo ser mejor.,3
61589,M,Doble Twin (2 camas),DEPORTIVO,muy bonitas las areas comunes,,Muy bonitas las areas comunes.,3
50735,M,Sencilla,DEPORTIVO,la atencion fue excelente,el desayuno no fue lo esperado,"La atencion fue excelente, igual el desayuno no fue lo esperado.",3
36382,M,Triple,NEGOCIO,las toallas y ropa de cama limpias,,Las toallas y ropa de cama limpias.,4
84886,F,Sencilla,DEPORTIVO,el personal fue amable,,El personal fue amable.,4
91198,M,Doble Twin (2 camas),DEPORTIVO,,las instalaciones estan algo viejas,Pues Las instalaciones estan algo viejas.,4
74000,M,Doble Twin (2 camas),PERSONAL,me gusto el servicio,el personal no fue muy atento,Aumqur el personal no fue muy atento. Me gusto el servicio.,4
29785,F,Doble (1 cama),TURISMO,buenservicio de habitaciones,habia mucho ruido en la nOche,Buenservicio de habitaciones. sin embargo habia mucho ruido en la nOche.,5
90733,M,Sencilla,TURISMO,muy bonitas las areaas comunes,,Muy bonitas las areaas comunes. Sin quejas.,4
43504,M,Doble (1 cama),PERSONAL,,demasiado ruido externo,Honestamente Demasiado ruido externo.,3
8331,F,Doble (1 cama),NEGOCIO,excelente ubicacion cerca a todo,la puerta no cerrababien,Excelente ubicacion cerca a todo. aunque igual la puerta no cerrababien.,3
31021,M,Sencilla,TURISMO,las toallas y ropa de cama limpias,ls comida llego friia,Las toallas y ropa de cama limpias. Ls comida lleGo friia.,5
5207,F,Sencilla,NEGOCIO,buen servicio de habitaciones,la atencion pudo ser mejor,Buen servicio de habitaciones. pero la verdad la atencion pudo ser mejor.,3
42347,F,Doble Twin (2 camas),TURISMO,el check in fue rapido,no habia agua caliente en la mañana,El check in fue rapido. pero no habia agua caliente en la mañana.,4
53581,M,Doble (1 cama),SALUD,me gustó el servicio,,Me gustó el servicio. Volvería.,4
36093,F,Doble Twin (2 camas),DEPORTIVO,,la puerta no cerraba bien,Pues La puerta no cerraba bien.,5
9675,M,Doble (1 cama),TURISMO,la habitación estaba limpia,el cuarto era muy pequeño,La habitación estaba limpiA. pero el cuarto era muy pequeño.,3
28653,M,Triple,NEGOCIO,la ubicación es muy buena,el desayuno no fue lo esperado,La ubicación es muy buena. El desayuno no fue lo esperado.,4
75341,F,Doble Twin (2 camas),TURISMO,el personal fuue amable,,El personal fuue amable. Volvería.,4
95098,M,Cuádruple,TURISMO,buena experiencia en general lo recomiendo,problemas con el agua caliente,Buena experiencia en general lo recomiendo. Problemas con el agua caliente.,3
42245,M,Doble (1 cama),DEPORTIVO,ambiente tranquilo y agradable,,Ambiente tranquilo y agradable. Lo recomiendo.,4
28869,M,Cuádruple,NEGOCIO,,,esperaba mas la verdad.,4
86909,M,Sencilla,DEPORTIVO,el check in fue rapido,habia humedad en el cuarto,"El check in fue rapido, aunque habia humedad en el cuarto.",4
66435,M,Doble (1 cama),TURISMO,,el personal no fue muy atento,El personal no fue muyatento,2
52856,M,Doble Twin (2 camas),TURISMO,cumple con lo quepromete,la puerta no cerraba bien,Cumple con lo quepromete. eso sí la puerta no cErraba bien.,3
85259,M,Triple,SALUD,cumple con lo que promete,hsbia olor raro en la habitacion,"Cumple con lo que promete, la verdad hsbia olor raro en la habitacion.",3
61142,M,Sencilla,DEPORTIVO,la rrcepcion fue muy cordial,los muebles estaban algo deteriorados,Eso si los muebles estaban algo deteriorados. La rrcepcion fue muycordial.,4
19726,M,Triple,OTRO,el colchon era comodisimo,se escuchaba todo del pasillo y en recepción se demoraron demasiado,El colchon era comodisimo. Se escuchaba todo del pasillo y en recepción se demoraron demasiado.,2
35718,M,Doble Twin (2 camas),DEPORTIVO,las toallas yropa de cama limpias,,Las toallas yropa de cama limpias.,4
19301,F,Doble (1 cama),NEGOCIO,el personal super amable y atento,problemas con el agua caliente,Eso si problemas con el agua caliente. El personal super amable y atento.,3
33325,M,Suite,NEGOCIO,la habitacion estaba limpia,,La habitacion estaba limpia. Buen hotel.,4
98647,M,Doble (1 cama),SALUD,muy bonitas las areas comunes,en recepcion se demoraron demasiado,Aunque en recepcion se demoraron demasiado. Muy bonitas las areas comunes.,5
74579,F,Doble Twin (2 camas),DEPORTIVO,buena relación calidad precio,el servicio fue algo demorado,"Buena relación calidad precio, eso si el servicio fue algo demorado.",3
71644,M,Doble (1 cama),SALUD,la recepcion fue muy cordIal,,La recepcion fue muy cordial.,5
35438,F,Triple,TURISMO,el personal hizo todo lo posible por ayudar,la atencion pudo ser mejor,Sin embargo la atencion pudo ser mejor. El personal hizo todo lo posible por ayudar.,3
98912,M,Sencilla,NEGOCIO,el desayuno estuvo muy rico,se escuchaba todo del pasillo,Aunque se escuchaba todo del pasillo. El desayuno estuvo muy rico.,2
77622,M,Sencilla,SALUD,precio justo por lo que ofrece,,Precio justo por lo que ofrece.,4
57155,M,Sencilla,NEGOCIO,,la puerta no cerraba bien,La puerta no cerraba bien.,1
77484,M,Doble Twin (2 camas),DEPORTIVO,las camas eran cómodas,los muebles estaban algo deteriorados,"Las camas eran cómodas, igual los muebles estaban algo deteriorados.",2
53350,F,Triple,DEPORTIVO,,la puerta no cerraba bien,La verdad La puerta no cerraba bien.,4
48447,M,Doble Twin (2 camas),DEPORTIVO,la ubicacion es muy buena,la puerta no cerraba bien,Aunque igual la puerta no cerraba bien. La ubicacion es muy buena.,3
29746,M,Doble Twin (2 camas),DEPORTIVO,,el cuarto era muy pequeño,El cuarto era muy pequeño.,5
19131,M,Doble (1 cama),DEPORTIVO,buena experiencia en general lorecomiendo,,Buena experiencia en general lorecomiendo. Sin quejas.,4
67784,F,Sencilla,SALUD,,se escuchaba todo del pasillo y en recepción se demoraron demasiado,La verdad Se escuchaba todo del pasillo y en recepción se demoraron demasIado.,2
65686,M,Cuádruple,TURISMO,,habia mucho ruido en la noche y en recepcion se demoraron demasiado,Honestamente Habia mucho ruido en la noche y en recepcion se demoraron demasiado,2
12915,M,Triple,NEGOCIO,las camas eran cómodas,,Las camas eran cómodas. Volvería.,5
7175,F,Sencilla,DEPORTIVO,cumple con lo que promete,,Cumple con lo que promete.,4
15371,F,Doble (1 cama),TURISMO,limpieza impecable,,Limpieza impecable. Lo recomiendo.,4
21033,F,Doble Twin (2 camas),NEGOCIO,,falta mantenimiento en algunasareas,Pues Falta mantenimiento en algunasareas.,3
83240,M,Doble Twin (2 camas),PERSONAL,buenas instalaciones en general,,Buenas instalaciones en general. Buen hotel.,4
21969,F,Doble (1 cama),OTRO,la recepcion fue muy cordial,el parqueadero era muy pequeno,Pero la verdad el parqueadero era muy pequeno. La recepcion fue muy cordial.,2
90192,M,Doble (1 cama),OTRO,cumple con lo que promete,la atencion pudo ser mejor,Pero la atencion pudo ser mejor. Cumple con lo que promete.,5
56333,M,Sencilla,SALUD,buena ubicacion para moverse por la ciudad,el desayuno no fue lo esperado,Buena ubicacion para moverse por la ciudad. igual el desayuno no fue lo esperado.,3
79172,M,Triple,DEPORTIVO,buenas instalaciones en general,había mucho ruiDo en la noche y la atención pudo ser mejor,Aunque había mucho ruiDo en la noche y la atención pudo ser mejor. Buenas instalaciones en general.,3
9326,M,Doble (1 cama),NEGOCIO,muy bien ubicado cerca al centro,los muebles estaban algo deteriorados,Pero la verdad los muebles estaban algo deteriorados. Muy bien ubicado cerca al centro.,3
51432,M,Sencilla,SALUD,el personal hizo todo lo posible por ayudar,el baño tenia problemas,"El personal hizo todo lo posible por ayudar, pero la verdad el baño tenia problemas.",3
51019,F,Doble (1 cama),NEGOCIO,todo estuvo bien en general,el personal no fue muy atento,AUnque el personal no fue muy atento. Todo estuvo bien en geneeral.,4
79104,F,Suite,TURISMO,,el ascensor tardaba mucho,El ascensortardaba mucho.,3
62348,M,Sencilla,PERSONAL,buenas instalaciones en general,,Buenas instalaciones en general. Buen hotel,5
70352,M,Doble Twin (2 camas),TURISMO,,el ascensor tardaba mucho y el colchon estaba algo viejo,Honestamente El ascensor tardaba mucho y el colchon estaba algo viejo.,2
33953,F,Sencilla,PERSONAL,precio justo por lo que ofrece,,Precio justo por lo que ofrece.,4
73512,M,Doble (1 cama),TURISMO,el desayuno estuvo muy rico,habia mucho ruido en la noche,Aunqueigual habia mucho ruido en la noche. Eldesayuno estuvo muy rico.,4
2504,M,Sencilla,TURISMO,las camas eran comodas,la comida se demoro bastante,"Las camas eran comodas, aunque igual la comida se demoro bastante.",4
90166,M,Sencilla,TURISMO,el parqueadero fue util,habia mucho ruido en la noche,"El parqueadero fue util, pero habia mucho ruido en la noche.",3
95466,F,Doble (1 cama),TURISMO,,en recepcion se demoraron demasiado,En recepcion se demoraron demasiado.,2
16014,M,Cuádruple,TURISMO,muy bien ubicado cerca al centro,el ascensor tardaba mucho,Muy bien ubicado cerca al centro. El ascensor tardaba mucho,3
90353,M,Sencilla,TURISMO,la habitacion estaba limpia,problrmas con el agua caaliente,"La hhabitacionestaba limpia, pero problrmas con el agua caaliente.",5
71381,M,Sencilla,PERSONAL,,el aire acondicionado hacia ruido,Pues El aire acondicionado hacia ruido.,2
99419,F,Sencilla,PERSONAL,cumple con lo que promete,el personal no fue muy atento,"Cumple con lo que promete, pero el personal no fue muy atento.",3
35973,F,Doble Twin (2 camas),NEGOCIO,me parrecio un hotel muy completo,no habia agua caliente en la mañana,Me parrecio un hotel muy completo. No habia agua caliente en la mañana.,3
85012,M,Doble (1 cama),SALUD,excelente ubicación cerca a todo,demasiado ruido externo,Excelente ubicación cerca a todo. lla verdad demasiado ruido externo,4
45587,M,Sencilla,OTRO,me gusto elservicio,,Me gusTo elservicio.,4
15621,M,Sencilla,SALUD,excelente ubicacion ceerca aa todo,en recepcion se demoraron demasiado,Excelente ubicacion ceerca aa todo. aunque igual en recepcion se demoraron demasiado.,4
39469,M,Sencilla,DEPORTIVO,el restaurante del hotel estuvo rico,el desayuno no fue lo esperado,El restaurante del hotel estuvo rico. El desayuno no fue lo esperado,4
57985,M,Sencilla,OTRO,el cuarto era amplio,el aire acondicionado hacia ruido,"El cuarto era amplio, la verdad el aireacondicionado hacia ruiido.",4
21730,M,Sencilla,DEPORTIVO,limpieza impecable,el parqueadero era muy pequeño,Limpieza impecable. la verdad el parqueadero era muy pequeño.,4
60470,F,Sencilla,TURISMO,cumple con lo que promete,en recepcion se demoRaron demasiado,Cumple con lo que promete. En recepcion se demoraron demasiado.,4
1425,M,Doble Twin (2 camas),OTRO,la atencion fue excelente,,La atencion fue excelente.,4
95646,M,Doble Twin (2 camas),TURISMO,,la tv no fUncionaba bien,Pues La tv no funcionaba bien.,3
95329,M,Cuádruple,TURISMO,muy bien ubicado cerca al centro,el wifi era muy lento,Muy bien ubicado cerca al centro. igual el wifi era muy lento.,3
35522,M,Doble (1 cama),TURISMO,,,"regular, ni muy bien nimuy mal.",4
66612,F,Triple,NEGOCIO,buena relación calidaad precio,,Buena relación calidaad precio.,5
24416,F,Doble Twin (2 camas),TURISMO,ambiente tranquilo y agradable,poca variedad en el desayuno,Ambiente tranquilo y agradable. Poca variedad en eldesayuno,3
67542,F,Sencilla,TURISMO,la recepcion fue muy cordial,,La recepcion fue muy cordial. Volvería.,4
14947,F,Sencilla,DEPORTIVO,el colchon era comodisimo,,El colchon era comodisimo. Lo recomiendo.,4
82959,M,Doble (1 cama),TURISMO,muy buena vista desde la habitacion,se escuchaba todo del pasillo yel baño teNía problemas,Pero la verdad se escuchaba todo del pasillo yel baño teNía problemas. Muy buena vista desde la habitacion.,3
40117,F,Doble Twin (2 camas),SALUD,el personal super amable y atento,se escuchaba todo del pasillo y el baño tenía problemas,Eso si se escuchaba todo del pasillo y el baño tenía problemas. El personal super amable y atento.,2
84748,M,Sencilla,SALUD,el personal fue amabble,habia olor raro en la habitacion,"El personal fue amabble, pero habia olor raro en la habitacion.",4
67540,M,Doble (1 cama),SALUD,,no pude dormir bien por el ruido y la comida se deMoró bastante,La verdad No pude dormir bien por el ruido y la comida se demoró bastante.,3
80818,F,Sencilla,SALUD,el personal hizo todo lo posible por ayudar,la cama no era muy comoda,"El personal hizo todo lo posible por ayudar, eso si la cama no era muy comoda.",3
27071,M,Sencilla,OTRO,excelente ubicacion cerca a todo,habia mucho ruido en la noche,La verdad habia mucho ruido en la noche. Excelente ubicacion cerca a todo.,3
21032,F,Doble Twin (2 camas),PERSONAL,,el aire acondicionado hacia ruido,Honestamente El aire acondicionado hacia ruido.,5
50009,M,Triple,NEGOCIO,el personal fue amable,el personal no fue muy atentto,El personal fue amable. eso sí el personal no fue muy atentto.,3
22174,M,Doble Twin (2 camas),DEPORTIVO,ambiente tranquilo y agradable,el desayuno no fue llo esperado,Eso sí el desayuno no fue llo esperado. Ambiente tranquilo y agradable.,4
71697,F,Doble Twin (2 camas),DEPORTIVO,el parqueadero fue util,los muebles estaban algo deteriorados,El parqueadero fue util. Los muebles estaban algo deteriorados.,3
70514,M,Cuádruple,DEPORTIVO,la piscina estaba muy bien,habia olor raro en la habitacion,"La piscina estaba muy bien, sin embargo habia olor raro en la habitacion.",4
1074,M,Sencilla,NEGOCIO,muy bien ubicado cerca al centro,,Muy bien ubicado cerca al centro. Sin quejas.,4
79504,M,Triple,NEGOCIO,,,cumple pero nada del otro mundo.,4
